Section,Subsection,Name,Cost (MiB),Description
games,PrisonPC,libatlas-cpp-0.6-tools,ERROR,World Forge wire protocol library - tools
games,PrisonPC,libdds0,1,bridge double dummy solver - shared library
games,PrisonPC,libretro-beetle-pce-fast,41,Libretro wrapper for the Beetle PCE FAST core
games,PrisonPC,libretro-beetle-psx,41,Libretro wrapper for the Beetle PSX core
games,PrisonPC,libretro-beetle-vb,41,Libretro wrapper for the Beetle VB core
games,PrisonPC,libretro-beetle-wswan,41,Libretro wrapper for the Beetle WSWAN core
games,PrisonPC,libretro-bsnes-mercury-accuracy,41,Libretro wrapper for bsnes-mercury accuracy core
games,PrisonPC,libretro-bsnes-mercury-balanced,41,Libretro wrapper for bsnes-mercury balanced core
games,PrisonPC,libretro-bsnes-mercury-performance,41,Libretro wrapper for bsnes-mercury performance core
games,PrisonPC,libretro-desmume,42,Libretro wrapper for DeSmuME
games,PrisonPC,libretro-gambatte,41,Libretro wrapper for Gambatte
games,PrisonPC,libretro-mgba,41,Libretro wrapper for mGBA
games,PrisonPC,libretro-nestopia,41,libretro wrapper for Nestopia
games,PrisonPC,libretro-snes9x,42,Libretro wrapper for Snes9x
games,PrisonPC,littlewizard,1,development environment for children
games,PrisonPC,love,3,2D game development framework based on Lua and OpenGL
games,PrisonPC,luola-levels,2,level files for luola
games,PrisonPC,luola-nostalgy,2,nostalgy level files for luola
games,PrisonPC,lutris,ERROR,open source gaming platform
games,PrisonPC,mame-extra,83,Additional files for the Multiple Arcade Machine Emulator (MAME)
games,PrisonPC,matanza,1,Space ascii war game
games,PrisonPC,mednafen,5,"multi-platform emulator, including NES, GB/A, Lynx, PC Engine"
games,PrisonPC,mess-desktop-entries,77,Desktop entries for MESS ROMs
games,PrisonPC,mgba-qt,18,Game Boy Advance emulator (Qt frontend for mGBA)
games,PrisonPC,minetest-mod-basic-materials,12,Minetest mod providing basic materials and items
games,PrisonPC,minetest-mod-character-creator,12,Minetest module to customize your skin
games,PrisonPC,minetest-mod-craftguide,12,Minetest mod providing a crafting guide
games,PrisonPC,minetest-mod-currency,12,Minetest mod providing shops and currency
games,PrisonPC,minetest-mod-ethereal,12,Minetest module to add a map generator enhancer
games,PrisonPC,minetest-mod-homedecor,14,Minetest mod pack providing home decor elements
games,PrisonPC,minetest-mod-infinite-chest,12,Minetest module to get chests with an infinite number of slots
games,PrisonPC,minetest-mod-intllib,12,Minetest module for internationalization of modules
games,PrisonPC,minetest-mod-lucky-block,12,Minetest module to add a Lucky Block to the game
games,PrisonPC,minetest-mod-maidroid,12,Minetest mod - Maidroid for maid robots
games,PrisonPC,minetest-mod-mesecons,15,Digital circuitry blocks for minetest
games,PrisonPC,minetest-mod-mobs-redo,12,Minetest module to add mobs programming interface
games,PrisonPC,minetest-mod-moreblocks,12,Minetest mod - More Blocks
games,PrisonPC,minetest-mod-moreores,12,Minetest mod - More Ores
games,PrisonPC,minetest-mod-nether,12,Minetest mod - Nether portals and materials
games,PrisonPC,minetest-mod-pipeworks,12,Pipes and tubes for Minetest
games,PrisonPC,minetest-mod-player-3d-armor,12,Modpack to add armor and wielded weapons for Minetest
games,PrisonPC,minetest-mod-protector,12,Minetest module to add protector blocks
games,PrisonPC,minetest-mod-pycraft,12,Minetest mod - (most of) Raspberry PI Minecraft API
games,PrisonPC,minetest-mod-quartz,12,Minetest module to add quartz
games,PrisonPC,minetest-mod-skyblock,12,Minetest module to add a Crusoe-like minigame
games,PrisonPC,minetest-mod-throwing,12,Minetest mod - Throwing system
games,PrisonPC,minetest-mod-throwing-arrows,12,Minetest mod - Throwables
games,PrisonPC,minetest-mod-unified-inventory,12,Minetest module to enhance the inventory
games,PrisonPC,minetest-mod-unifieddyes,12,Minetest mod providing a unified dye specification
games,PrisonPC,minetest-mod-worldedit,12,Minetest mod - ingame world editor
games,PrisonPC,minetest-mod-xdecor,12,Lightweight decoration module for minetest
games,PrisonPC,minetestmapper,1,map generator from minetest worlds
games,PrisonPC,minigalaxy,29,Simple GOG Linux client
games,PrisonPC,mupen64plus-audio-sdl,2,sdl audio output plugin for mupen64plus
games,PrisonPC,mupen64plus-input-sdl,2,sdl input device plugin for mupen64plus
games,PrisonPC,mupen64plus-qt,3,customizable launcher for Mupen64Plus
games,PrisonPC,mupen64plus-rsp-hle,2,high-level rsp emulation for mupen64plus
games,PrisonPC,mupen64plus-rsp-z64,2,low-level rsp emulation for mupen64plus
games,PrisonPC,mupen64plus-video-arachnoid,2,Arachnoid high-level graphics emulation for mupen64plus
games,PrisonPC,mupen64plus-video-glide64,2,Glide64 high-level graphics emulation for mupen64plus
games,PrisonPC,mupen64plus-video-glide64mk2,2,Glide64Mk2 high-level graphics emulation for mupen64plus
games,PrisonPC,mupen64plus-video-rice,2,Rice's high-level graphics emulation for mupen64plus
games,PrisonPC,mupen64plus-video-z64,2,low-level rdp emulation for mupen64plus
games,PrisonPC,nethack-qt,3,dungeon crawl game - Qt interface
games,PrisonPC,nexuiz-music,81,Nexuiz music files
games,PrisonPC,nexuiz-textures,440,Textures for Nexuiz
games,PrisonPC,ninvaders,1,A space invaders-like game using ncurses
games,PrisonPC,nsnake,1,classic snake game on the terminal
games,PrisonPC,nudoku,1,ncurses based sudoku games
games,PrisonPC,ogamesim-www,8,WWW GUI for ogamesim
games,PrisonPC,open-adventure,1,"colossal cave adventure, the 1995 430-point version"
games,PrisonPC,openarena-081-maps,39,OpenArena game data - maps from 0.8.1
games,PrisonPC,openarena-081-misc,27,OpenArena game data - miscellaneous files from 0.8.1
games,PrisonPC,openarena-081-players,72,OpenArena game data - player graphics from 0.8.1
games,PrisonPC,openarena-081-players-mature,26,"OpenArena game data - ""mature"" player graphics from 0.8.1"
games,PrisonPC,openarena-081-textures,90,OpenArena game data - textures from 0.8.1
games,PrisonPC,openarena-oacmp1,110,OpenArena Community Map Pack 1
games,PrisonPC,openjazz,2,Jazz Jackrabbit™ game engine reimplementation
games,PrisonPC,openmw-launcher,65,Launcher for OpenMW using the Qt-Gui-Toolkit
games,PrisonPC,openttd-opengfx,3,free graphics set for use with the OpenTTD game
games,PrisonPC,openttd-openmsx,1,free music set for use with the OpenTTD game
games,PrisonPC,openttd-opensfx,10,sound set for use with the OpenTTD game
games,PrisonPC,opentyrian,5,open-source port of the DOS shoot-em-up Tyrian
games,PrisonPC,out-of-order,18,comedy science fiction adventure game
games,PrisonPC,pacman4console,1,ncurses-based pacman game
games,PrisonPC,performous-composer,3,song editor for creating (and converting) notes for music games
games,PrisonPC,performous-tools,20,karaoke game that allows user supplied songs - tools
games,PrisonPC,pinball-dev,ERROR,Development files for the Emilia Pinball Emulator
games,PrisonPC,pioneers-console,1,Settlers of Catan board game - console parts
games,PrisonPC,pioneers-metaserver,1,Settlers of Catan board game - metaserver
games,PrisonPC,planetblupi-music-midi,19,Planet Blupi - A delirious spell-binding game - MIDI music
games,PrisonPC,planetblupi-music-ogg,58,Planet Blupi - A delirious spell-binding game - Ogg music
games,PrisonPC,play.it,1,Installer for drm-free commercial games
games,PrisonPC,pokemmo-installer,70,Installer and Launcher for the PokeMMO emulator
games,PrisonPC,powder,2,Graphical dungeon crawling game
games,PrisonPC,prboom-plus,8,enhanced clone of the classic first-person shooter Doom
games,PrisonPC,prisonpc-openttd-extras,160,OpenTTD (Transport Tycoon Deluxe) extra plugins
games,PrisonPC,prisonpc-warzone2100-addons,140,Warzone2100 addons
games,PrisonPC,prisonpc-wesnoth-addons,530,Wesnoth addons
games,PrisonPC,purity-off,1,Sex related purity tests
games,PrisonPC,pybik-bin,1,Rubik's cube game - architecture dependent files
games,PrisonPC,pysolfc-cardsets,40,additional card graphics for PysolFC
games,PrisonPC,python3-minecraftpi,1,Raspberry PI Minecraft API python client library
games,PrisonPC,qstat,1,Command-line tool for querying quake (and other) servers
games,PrisonPC,quake,8,classic gothic/horror-themed first person shooter
games,PrisonPC,quake2,8,classic science-fiction-themed first person shooter
games,PrisonPC,quake3,9,Quake III Arena menu entry and launcher scripts
games,PrisonPC,reminiscence,9,free implementation of Flashback game engine
games,PrisonPC,residualvm,4,interpreter to play LucasArts' Lua-based 3D adventures
games,PrisonPC,rocksndiamonds,ERROR,arcade-style game
games,PrisonPC,rott,9,SDL-Port of Rise of the Triad
games,PrisonPC,rtcw,10,game engine for Return to Castle Wolfenstein
games,PrisonPC,runescape,ERROR,Multiplayer online game set in a fantasy world
games,PrisonPC,salliere,43,Bridge duplicate scorer
games,PrisonPC,sauerbraten,950,3D first-person shooter game
games,PrisonPC,simutrans-makeobj,1,data file compiler for Simutrans
games,PrisonPC,simutrans-pak128.britain,30,transportation simulator (data files)
games,PrisonPC,simutrans-pak64,3,transportation simulator (data files)
games,PrisonPC,singularity-music,50,Music for Endgame: Singularity game
games,PrisonPC,slashem-gtk,3,variant of Nethack (Gtk window port)
games,PrisonPC,slashem-sdl,4,variant of Nethack (SDL window port)
games,PrisonPC,slashem-x11,2,variant of Nethack (X11 window port)
games,PrisonPC,sm,1,Displays a short text fullscreen
games,PrisonPC,spring-javaai,53,modern full-3D RTS game engine (Java AIs)
games,PrisonPC,steam-devices,1,Device support for Steam-related hardware
games,PrisonPC,tf,1,"Tinyfugue MUD client for TinyMUDs, DikuMUDs, and LPMUDs"
games,PrisonPC,tintin++,3,classic text-based MUD client
games,PrisonPC,tinymux,1,text-based multi-user virtual world server
games,PrisonPC,trader,1,simple game of interstellar trading
games,PrisonPC,ufoai-maps,370,UFO: Alien Invasion -- maps
games,PrisonPC,ufoai-misc,3,UFO: Alien Invasion -- miscellaneous files and documentation
games,PrisonPC,ufoai-music,210,UFO: Alien Invasion -- music files
games,PrisonPC,ufoai-sound,18,UFO: Alien Invasion -- sound files
games,PrisonPC,ufoai-textures,330,UFO: Alien Invasion -- textures
games,PrisonPC,uhexen2,3,Hexen II - engine package
games,PrisonPC,uqm,10,The Ur-Quan Masters - An inter-galactic adventure game
games,PrisonPC,uqm-content,10,The Ur-Quan Masters - Game data files
games,PrisonPC,uqm-music,28,The Ur-Quan Masters - Game music files
games,PrisonPC,uqm-russian,11,Russian addon for 'The Ur-Quan Masters' game
games,PrisonPC,uqm-voice,120,The Ur-Quan Masters - Voice files
games,PrisonPC,vcmi,12,Rewrite of the Heroes of Might and Magic 3 game engine
games,PrisonPC,warmux-servers,2,stand alone server and game index server for WarMUX
games,PrisonPC,warzone2100-music,18,official music for warzone2100
games,PrisonPC,wesnoth-1.14,270,fantasy turn-based strategy game - complete suite (branch 1.14)
games,PrisonPC,wesnoth-1.14-aoi,150,"""An Orcish Incursion"" official campaign for Wesnoth (branch 1.14)"
games,PrisonPC,wesnoth-1.14-core,140,fantasy turn-based strategy game (branch 1.14)
games,PrisonPC,wesnoth-1.14-did,150,"""Descent Into Darkness"" official campaign for Wesnoth (branch 1.14)"
games,PrisonPC,wesnoth-1.14-dm,150,"""Delfador's Memoirs"" official campaign for Wesnoth (branch 1.14)"
games,PrisonPC,wesnoth-1.14-dw,150,"""Dead Water"" official campaign for Wesnoth (branch 1.14)"
games,PrisonPC,wesnoth-1.14-ei,150,"""The Eastern Invasion"" official campaign for Wesnoth (branch 1.14)"
games,PrisonPC,wesnoth-1.14-httt,150,"""Heir to the Throne"" official campaign for Wesnoth (branch 1.14)"
games,PrisonPC,wesnoth-1.14-l,150,"""Liberty"" official campaign for Wesnoth (branch 1.14)"
games,PrisonPC,wesnoth-1.14-low,150,"""Legend of Wesmere"" official campaign for Wesnoth (branch 1.14)"
games,PrisonPC,wesnoth-1.14-music,150,music files for Wesnoth (branch 1.14)
games,PrisonPC,wesnoth-1.14-nr,150,"""Northern Rebirth"" official campaign for Wesnoth (branch 1.14)"
games,PrisonPC,wesnoth-1.14-sof,150,"""The Sceptre of Fire"" official campaign for Wesnoth (branch 1.14)"
games,PrisonPC,wesnoth-1.14-sota,150,"""Secrets of the Ancients"" official campaign for Wesnoth (branch 1.14)"
